Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
ALG13	1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Congenital disorder of glycosylation, type Is;Infantile spasms and LGS						
ALS2	1	BIALLELIC, autosomal or pseudoautosomal	Amyotrophic lateral sclerosis 2, juvenile, OMIM:205100;Primary lateral sclerosis, juvenile, OMIM:606353;Spastic paralysis, infantile onset ascending, OMIM:607225						
AMN	1	autosomal recessive	Imerslund-Grasbeck syndrome 2 OMIM:618882,ORPHA:35858	developmental regression (according to ORPHANET)					
AMPD2	1	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia 9 (#615809);Spastic paraplegia homozygous frameshift reported in single family (Novarino et al, 2014).						
ANG	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Amyotrophic Lateral Sclerosis, Dominant;Amyotrophic lateral sclerosis 9, 611895;familial amyotrophic lateral sclerosis (ALS9)						
ANO10	1	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 10, 						
ANXA11	1	autosomal dominant	ORPHA:803,OMIM:617839,OMIM:619733	slowly progressive					
AOPEP	1	autosomal recessive	"	Dystonia 31 OMIM:619565"	progressive disorder					
AP1S2	1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Pettigrew syndrome, OMIM:304340;Calcifications in basal ganglia						
AP3B2	1	BIALLELIC, autosomal or pseudoautosomal	Epileptic encephalopathy, early infantile, 48 617276	DEE					
AP4E1	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 51, autosomal recessive, OMIM:613744;Hereditary spastic paraplegia 51, MONDO:0013401						
AP4S1	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 52, autosomal recessive;developmental delay;seizures						
AP5Z1	1	autosomal recessive	Spastic paraplegia 48, autosomal recessive ORPHA:306511,OMIM:613647						
APOE	1	autosomal dominant	ALZHEIMER DISEASE 3; AD3	early-onset AD					
APOPT1	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, nuclear type 17, OMIM:619061	progressive disorder					
APTX	1	BIALLELIC, autosomal or pseudoautosomal	Ataxia with Oculomotor Apraxia ;Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia 						
AR	1	x-linked recessive	SPINAL AND BULBAR MUSCULAR ATROPHY, X-LINKED 1; SMAX1 OMIM:313200,OMIM:176807,ORPHA:481,OMIM:312300,OMIM:300633,ORPHA:90797,OMIM:300068,ORPHA:99429,ORPHA:95706						
ARG1	1	BIALLELIC, autosomal or pseudoautosomal	Argininemia, OMIM:207800						
ARHGEF18	1	autosomal recessive	"	Retinitis pigmentosa 78 ORPHA:791,OMIM:617433"	progressive disorder					
ARHGEF9	1	X-linked	Developmental and epileptic encephalopathy 8						
