Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
SLC16A2	1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Allan-Herndon-Dudley syndrome, OMIM:300523;General Leukodystrophy & Mitochondrial Leukoencephalopathy;Hypomyelinating Leukodystrophy & Pelizaeus-Merzbacher Disease;Monocarboxylate transporter 8 deficiency (MCT8) OMIM:300523,ORPHA:59						
SLC19A3	1	BIALLELIC, autosomal or pseudoautosomal	Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2) ORPHA:263410,ORPHA:255241,OMIM:607483						
SLC1A2	1	autosomal dominant	Developmental and epileptic encephalopathy 41 ORPHA:442835,OMIM:617105	some patients do regress					
SLC1A4	1	BIALLELIC, autosomal or pseudoautosomal	Spastic tetraplegia, thin corpus callosum, and progressive microcephaly, ORPHA:447997,OMIM:616657						
SLC20A2	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Basal ganglia calcification, idiopathic, 1, 213600;Familial Idiopathic Basal Ganglia Calcification;Fahr syndrome ORPHA:1980,OMIM:213600						
SLC25A15	1	BIALLELIC, autosomal or pseudoautosomal	Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome, ORPHA:415,OMIM:238970	progressive					
SLC25A19	1	BIALLELIC, autosomal or pseudoautosomal	"Microcephaly, Amish type	607196;Thiamine metabolism dysfunction syndrome 4 (progressive polyneuropathy type)	OMIM:607196,OMIM:613710,ORPHA:99742"						
SLC25A22	1	autosomal recessive	Developmental and epileptic encephalopathy 3 ORPHA:1934,ORPHA:1935,OMIM:609304	severe phenotype					
SLC25A46	1	BIALLELIC, autosomal or pseudoautosomal	"Neuropathy, hereditary motor and sensory, type VIB	OMIM:619303,OMIM:616505"						
SLC2A1	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Dystonia 9, 601042;GLUT1 deficiency syndrome 1, infantile onset, severe, 606777;GLUT1 deficiency syndrome 2, childhood onset, 612126;Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 OMIM:612126,OMIM:614847,OMIM:608885,ORPHA:1942,ORPHA:53583,ORPHA:168577,ORPHA:71277,OMIM:601042,ORPHA:64280,ORPHA:98811,OMIM:606777						
SLC33A1	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spastic paraplegia 42, autosomal dominant, ORPHA:171863,OMIM:612539,OMIM:614482						
SLC39A14	1	BIALLELIC, autosomal or pseudoautosomal	"Hypermanganesemia with dystonia 2	OMIM:617013,OMIM:144755,ORPHA:521406"						
SLC52A2	1	BIALLELIC, autosomal or pseudoautosomal	Brown-Vialetto-Van Laere syndrome 2, OMIM:614707						
SLC6A19	1	autsomal recessive	Hartnup disorder OMIM:138500,OMIM:242600,ORPHA:2116,OMIM:234500,ORPHA:42062						
SLC6A3	1	BIALLELIC, autosomal or pseudoautosomal	Parkinsonism-dystonia, infantile, 613135;Dopamine transporter deficiency OMIM:613135,ORPHA:238455						
SLC9A1	1	autosomal recessive	Lichtenstein-Knorr syndrome OMIM:616291						
SLC9A6	1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Mental retardation, X-linked syndromic, Christianson type, ORPHA:85278,OMIM:300243						
SMC1A	1	X-linked dominant	Developmental and epileptic encephalopathy 85, with or without midline brain defects OMIM:301044,ORPHA:220386,OMIM:300590,ORPHA:3095,ORPHA:199	congenital heart defects in some patients, X-inactivation escape gene	potentially but currently nothing described				
SMN1	1	BIALLELIC, autosomal or pseudoautosomal	Spinal muscular atrophy 1, OMIM:253300;Spinal muscular atrophy 2, OMIM:253550;Spinal muscular atrophy 3, OMIM:253400;Spinal muscular atrophy 4, OMIM:271150 OMIM:271150,OMIM:253550,OMIM:253400,OMIM:253300	nusinersen already available on the market					
SMPD1	1	autosomal recessive	Niemann-Pick disease, type A ORPHA:77293,OMIM:257200,OMIM:607616						
SNORD118	1	BIALLELIC, autosomal or pseudoautosomal	614561;Leukoencephalopathy, brain calcifications and cysts, 614561						
SNX14	1	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 20,  ORPHA:397709,OMIM:616354	progressive cerebellar atrophy					
SOX10	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	General Leukodystrophy & Mitochondrial Leukoencephalopathy;peripheral demyelinating neuropathy, central dysmyelinating leukodystrophy;PERIPHERAL DEMYELINATING NEUROPATHY, CENTRAL DYSMYELINATING LEUKODYSTROPHY, WAARDENBURG SYNDROME, AND HIRSCHSPRUNG DISEASE ORPHA:895,OMIM:609136,OMIM:611584,OMIM:613266,ORPHA:478,ORPHA:163746,ORPHA:897						
SPART	1	BIALLELIC, autosomal or pseudoautosomal	Troyer syndrome, OMIM:275900;Spastic paraplegia 20 OMIM:275900,ORPHA:101000						
SPAST	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spastic paraplegia 4, autosomal dominant  OMIM:182601,ORPHA:100985						
SPTAN1	1	autosomal dominant	Developmental and epileptic encephalopathy 5 OMIM:613477,ORPHA:3451						
SPTLC2	1	autosomal dominant	Neuropathy, hereditary sensory and autonomic, type IC ORPHA:36386,OMIM:613640	progressive disorder					
SQSTM1	1	autosomal dominant	ORPHA:803,OMIM:167250,ORPHA:275864,ORPHA:603,OMIM:616437,OMIM:617145,ORPHA:275872,OMIM:617158 Frontotemporal dementia and/or amyotrophic lateral sclerosis 3	ALS progressive					
STUB1	1	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 16  OMIM:615768,ORPHA:412057,OMIM:618093						
STXBP1	1	autosomal dominant	Developmental and epileptic encephalopathy 4 ORPHA:495818,OMIM:612164						
SUMF1	1	BIALLELIC, autosomal or pseudoautosomal	General Leukodystrophy & Mitochondrial Leukoencephalopathy;Multiple sulfatase deficiency OMIM:272200,ORPHA:585						
SUOX	1	BIALLELIC, autosomal or pseudoautosomal	Sulfite oxidase deficiency OMIM:272300	described as progressive					
SURF1	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy;Mitochondrial complex IV disorder;Leigh syndrome, due to COX IV deficiency OMIM:220110,ORPHA:255241,ORPHA:70474,OMIM:616684						
SYNJ1	1	BIALLELIC, autosomal or pseudoautosomal	"juvenile Parkinsonism;Parkinson disease 20, early-onset, 	Developmental and epileptic encephalopathy 53 OMIM:617389,ORPHA:391411,ORPHA:442835,ORPHA:2828,OMIM:615530"						
SZT2	1	autosomal recessive	Developmental and epileptic encephalopathy 18 OMIM:615476,ORPHA:442835						
TBC1D24	1	autosomal recessive	Developmental and epileptic encephalopathy 16 ORPHA:352596,ORPHA:352582,OMIM:608105,OMIM:615338,ORPHA:79500,OMIM:614617,ORPHA:163727,OMIM:605021,OMIM:220500,OMIM:616044						
TBCD	1	autosomal recessive	Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum OMIM:617193,ORPHA:496641						
TBCE	1	autosomal recessive	Encephalopathy, progressive, with amyotrophy and optic atrophy						
TFG	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 57, autosomal recessive, OMIM:615658,OMIM:604484,ORPHA:90117,ORPHA:431329						
TH	1	BIALLELIC, autosomal or pseudoautosomal	Segawa syndrome, recessive, 605407;paediatric form of dopa responsive dystonia;Segawa syndrome;DOPA-responsive dystonia ORPHA:101150,OMIM:605407						
THAP1	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dystonia;Dystonia 6, torsion, ORPHA:98806,OMIM:602629						
TIMM8A	1	x-linked recessive	Mohr-Tranebjaerg syndrome OMIM:304700,ORPHA:52368						
TNK2	1	autosomal recessive	Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression						
TPP1	1	BIALLELIC, autosomal or pseudoautosomal	Ceroid lipofuscinosis, neuronal, 2, 204500;Spinocerebellar ataxia, autosomal recessive 7, OMIM:204500,OMIM:609270,ORPHA:284324						
TRAK1	1	autosomal recessive	Developmental and epileptic encephalopathy 68 ORPHA:442835,OMIM:618201						
TRAPPC12	1	autosomal recessive	Encephalopathy, progressive, early-onset, with brain atrophy and spasticity OMIM:617669,ORPHA:500144						
TRAPPC2L	1	autosomal recessive	Encephalopathy, progressive, early-onset, with episodic rhabdomyolysis OMIM:618331						
TREM2	1	BIALLELIC, autosomal or pseudoautosomal	Calcifications in basal ganglia;Nasu-Hakola disease;Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy (PLOSL) ORPHA:1020,ORPHA:100070,ORPHA:803,ORPHA:2770,ORPHA:275864,OMIM:618193,ORPHA:100069	goes in stages					
TREX1	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 1, dominant and recessive;Aicardi-Gouti res syndrome, isolated chilblains, lupus-like disease, retinal vasculopathy with cerebral leukodystrophy OMIM:192315,ORPHA:51,ORPHA:247691,OMIM:610448,OMIM:152700,OMIM:225750						
TRPC3	1	autosomal dominant	Spinocerebellar ataxia 41 OMIM:616410,ORPHA:458798						
TRPM7	1	autosomal dominant	Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to OMIM:105500						
TSEN15	1	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia, type 2F, OMIM:617026,ORPHA:2524						
TSEN2	1	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar Hypoplasia type 2B;Pontocerebellar Hypoplasia;Pontocerebellar hypoplasia type 2B,OMIM:612389,ORPHA:2524						
TSEN54	1	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia type 2A, OMIM:277470;Pontocerebellar hypoplasia type 4, OMIM:225753 OMIM:277470,ORPHA:2524,ORPHA:166063,OMIM:610204,OMIM:225753						
TTBK2	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 11  OMIM:604432,ORPHA:98767						
TTC19	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex III deficiency, nuclear type 2, 615157						
TUBB4A	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Dystonia 4, torsion, autosomal dominant, 128101;Leukodystrophy, hypomyelinating, 6, 612438;Leukodystrophy, hypomyelinating 6;General Leukodystrophy & Mitochondrial Leukoencephalopathy OMIM:612438,ORPHA:98805,OMIM:128101						
TUFM	1	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy OMIM:610678						
TWNK	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spinocerebellar Ataxia, Recessive;Ataxia Neuropathy Spectrum Disorders, Dominant;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 3, 609286;Perrault syndrome 5, 616138;Mitochondrial DNA depletion syndrome 7 (hepatocerebral type), 271245 Mitochondrial Leukoencephalopathy; General Leukodystrophy & Mitochondrial Leukoencephalopathy;Mitochondrial DNA depletion syndrome 7 ORPHA:70595,OMIM:607459,OMIM:616138,OMIM:609286,ORPHA:254892,ORPHA:1186,OMIM:271245						
TYROBP	1	BIALLELIC, autosomal or pseudoautosomal	Dementia  OMIM:221770,ORPHA:2770						
UBAP1	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Hereditary spastic paraplegia ORPHA:100993,OMIM:618418						
UBQLN2	1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Amyotrophic Lateral Sclerosis, Dominant;Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia, ORPHA:803,OMIM:300857						
UBTF	1	autosomal dominant	Neurodegeneration, childhood-onset, with brain atrophy OMIM:617672,ORPHA:500180						
UCHL1	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 79, autosomal recessive, ORPHA:2828,OMIM:613643,OMIM:615491						
VAC14	1	BIALLELIC, autosomal or pseudoautosomal	"Striatonigral degeneration, childhood-onset	ORPHA:3472,OMIM:617054"						
VAPB	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinal muscular atrophy, late-onset, Finkel type, OMIM:182980;Amyotrophic lateral sclerosis 8, ORPHA:803,OMIM:608627,OMIM:182980						
VCP	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Amyotrophic lateral sclerosis 14, with or without frontotemporal dementia, 613954;Amyotrophic Lateral Sclerosis, Dominant;familial amyotrophic lateral sclerosis (ALS14) ORPHA:52430,ORPHA:329475,ORPHA:100070,ORPHA:803,ORPHA:275864,ORPHA:329478,ORPHA:435387,OMIM:167320,OMIM:616687,OMIM:613954,ORPHA:275872						
VPS13A	1	BIALLELIC, autosomal or pseudoautosomal	Choreoacanthocytosis ORPHA:2388,OMIM:200150						
VPS13D	1	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 4, ORPHA:95434,OMIM:607317						
VPS53	1	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar Hypoplasia type 2E;Pontocerebellar Hypoplasia OMIM:615851						
VRK1	1	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar Hypoplasia type 1A; Pontocerebellar Hypoplasia with infantile SMA; Pontocerebellar Hypoplasia with anterior horn cell disease;Pontocerebellar Hypoplasia;Pontocerebellar hypoplasia type 1A,OMIM:607596	respiratory insufficiency					
WASHC5	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spastic paraplegia 8, autosomal dominant, ORPHA:7,OMIM:603563,ORPHA:100989,OMIM:220210						
WDR45	1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	"Neurodegeneration with brain iron accumulation 5	ORPHA:329284,OMIM:300894,OMIM:615179,ORPHA:3451"						
WDR45B	1	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with spastic quadriplegia and brain abnormalities with or without seizures, OMIM:617977						
WWOX	1	BIALLELIC, autosomal or pseudoautosomal	Autosomal recessive spinocerebellar ataxia 12, OMIM:133239,ORPHA:442835,ORPHA:284282,ORPHA:251510,OMIM:616211,OMIM:614322,ORPHA:99977						
XPR1	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Basal ganglia calcification (Fahr syndrome);Basal ganglia calcification, idiopathic, 6, OMIM:616413,ORPHA:1980						
XRCC1	1	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 26, OMIM:617633						
ZFYVE26	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 15, autosomal recessive  ORPHA:100996,OMIM:270700						
ZNHIT3	1	autosomal recessive	PEHO syndrome ORPHA:2836,OMIM:260565						
AAAS	2	BIALLELIC, autosomal or pseudoautosomal	Achalasia-addisonianism-alacrimia syndrome, OMIM:231550;Triple-A syndrome, MONDO:0009279						
AASS	2	BIALLELIC, autosomal or pseudoautosomal	Hyperlysinemia, OMIM:238700;Hyperlysinemia (disease), MONDO:0009388	quite benign					
ABAT	2	BIALLELIC, autosomal or pseudoautosomal	GABA-transaminase deficiency 613163	progressive?					
ABCA2	2	BIALLELIC, autosomal or pseudoautosomal	Intellectual developmental disorder with poor growth and with or without seizures or ataxia, OMIM:618808;Intellectual developmental disorder with poor growth and with or without seizures or ataxia, MONDO:0032930	progressive?					
ABCA5	2	autosomal recessive	Hypertrichosis terminalis, generalized, with or without gingival hyperplasia, ORPHA:2026,OMIM:135400	patients can have neurological signs --> depends on severity, progressive?					
ABCC8	2	autsosomal dominant and autosomal recesive	OMIM:125853,ORPHA:79134,OMIM:240800,ORPHA:99885,OMIM:618857,OMIM:610374,ORPHA:552,OMIM:256450,ORPHA:99886,ORPHA:276575	neurological involvement, progressive?, but also diabetes					
ACADM	2	BIALLELIC, autosomal or pseudoautosomal	MEDIUM CHAIN ACYL-COENZYME A DEHYDROGENASE DEFICIENCY	extraneuralphenotype, dietary treatment possible					
ACADSB	2	BIALLELIC, autosomal or pseudoautosomal	2-methylbutyrylglycinuria, 610006	dietary treatment possible					
ACTB	2	autosomal dominant	Dystonia, juvenile-onset OMIM:607371;developmental malformations-deafness-dystonia syndrome MONDO:0011823;Baraitser-Winter syndrome 1 OMIM:243310;Baraitser-Winter syndrome 1 MONDO:0009470						
ACTL6A	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	developmental delay; intellectual disability						
ACTL6B	2	autosomal recessive and autosomal dominant	Developmental and epileptic encephalopathy 76	progressive?					
ACVRL1	2	autosomal dominant	Telangiectasia, hereditary hemorrhagic, type 2, OMIM:600376,ORPHA:774	seizures, progressive?					
ACY1	2	BIALLELIC, autosomal or pseudoautosomal	Aminoacylase 1 deficiency, 609924;AMINOACYLASE-1 DEFICIENCY	psychomotor retardation, some patients do not develop symptoms					
ADAM22	2	autosomal recessive	Developmental and epileptic encephalopathy 61	rapidly progressive during first year, stable thereafter					
ADCY5	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dyskinesia, familial, with facial myokymia, 606703; dystonia	slowly progressive, cardiomyopathy in some patients					
ADD3	2	BIALLELIC, autosomal or pseudoautosomal	Cerebral palsy, spastic quadriplegic, 3, MIM#617008	progressive?					
ADGRG1	2	BIALLELIC, autosomal or pseudoautosomal	Polymicrogyria, bilateral frontoparietal  606854  	severity?					
ADGRL1	2	autosomal dominant	ORPHA:528084 Developmental delay, behavioral abnormalities, and neuropsychiatric disorders	severity?					
ADNP	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28; MRD28, Helsmoortel-van der Aa syndrome	progressive? Variable extraneurologic features					
ADORA2A	2	unknown	ORPHA:363549 Acute encephalopathy with biphasic seizures and late reduced diffusion	progressive? Seizure syndrome					
ADRA2B	2	autosomal-dominant	ORPHA:86814 Benign adult familial myoclonic epilepsy	progressive?					
AFF2	2	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Mental retardation, X-linked, FRAXE type, 309548; FRAXE Syndrome;FRAGILE X-E MENTAL RETARDATION SYNDROME (FRAXE)	progressive? Behavioural phenotype potentially amenable					
AFF3	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Intellectual disability;Seizures;KINSSHIP syndrome	extraneuronal phenotype too severe?					
AFF4	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"CORNELIA DE LANGE-LIKE SYNDROME, 	CHOPS syndrome"	progressive?					
AGO2	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Intellectual disability;regression;seizures	progressive?					
AGXT	2	BIALLELIC, autosomal or pseudoautosomal	Hyperoxaluria, primary, type 1, 259900	progressive disease but patients die of liver failure					
AHCY	2	BIALLELIC, autosomal or pseudoautosomal	Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase, 613752	regression reported					
AHDC1	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	XIA-GIBBS SYNDROME	progressive? Syndrome might not be severe enough					
AHI1	2	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 3  608629	progressive? Extraneuronal manifestation					
AHSG	2	autosomal recessive	Alopecia-intellectual disability syndrome 1 OMIM:203650,ORPHA:2850	progressive? Sever mental retardation					
AKT3	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2 615937	progressive? Syndrome might not be severe enough					
ALDH3A2	2	BIALLELIC, autosomal or pseudoautosomal	Sjogren-Larsson syndrome, OMIM:270200;General Leukodystrophy & Mitochondrial Leukoencephalopathy						
ALDH4A1	2	BIALLELIC, autosomal or pseudoautosomal	Hyperprolinemia, type II, 239510;HYPERPROLINEMIA TYPE 2 (HP-2)	syndrome might not be severe enough					
ALDH5A1	2	BIALLELIC, autosomal or pseudoautosomal	Succinic semialdehyde dehydrogenase deficiency OMIM:271980;succinic semialdehyde dehydrogenase deficiency MONDO:0010083	slowly progressive					
ALDH6A1	2	autosomal recessive	Methylmalonate semialdehyde dehydrogenase deficiency OMIM:614105						
ALDH7A1	2	BIALLELIC, autosomal or pseudoautosomal	Epilepsy, pyridoxine-dependent 266100	progressive?					
ALG11	2	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ip	progressive?					
ALG12	2	BIALLELIC, autosomal or pseudoautosomal	CONGENITAL DISORDER OF GLYCOSYLATION TYPE 1G (CDG1G)	progressive? Severe extraneural features					
ALG2	2	autosomal recessive	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii; CDG1I ORPHA:353327,OMIM:616228,OMIM:607906,ORPHA:79326	progressive?					
ALG3	2	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Id 601110	progressive?					
ALG6	2	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ic 603147						
ALG9	2	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation type Il 608776						
ALMS1	2	BIALLELIC, autosomal or pseudoautosomal	ALSTROM SYNDROME, 203800						
ALPK1	2	autosomal dominant	ROSAH syndrome OMIM:614979						
AMACR	2	autosomal recessive	ALPHA-METHYLACYL-CoA RACEMASE DEFICIENCY; AMACRD ORPHA:79095,OMIM:214950,OMIM:614307						
AMER1	2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Osteopathia striata with cranial sclerosis 300373	seizures					
AMT	2	BIALLELIC, autosomal or pseudoautosomal	Glycine encephalopathy 605899	progressive?					
ANGPTL6	2	autosomal	Familial cerebral saccular aneurysm ORPHA:231160						
ANK3	2	autosomal recessive	Intellectual developmental disorder, autosomal recessive 37 OMIM:615493,ORPHA:356996						
ANKLE2	2	autosomal recessive	Microcephaly 16, primary, autosomal recessive ORPHA:2512,OMIM:616681						
ANKRD11	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	KBG syndrome, 148050						
ANKRD17	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Intellectual disability, speech delay, and dysmorphism	not known to be progressive					
ANTXR1	2	BIALLELIC, autosomal or pseudoautosomal	{Hemangioma, capillary infantile, susceptibility to}, 602089; GAPO syndrome, 230740	epilepsy in some patients					
AP1G1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Neurodevelopmental disorder (NDD);Intellectual Disability;Epilepsy	progressive?					
AP1S1	2	BIALLELIC, autosomal or pseudoautosomal	MEDNIK syndrome, 609313;MEDNIK syndrome;mental retardation, enteropathy, deafness, peripheral neuropathy, ichthyosis and keratoderma syndrome	severe extraneuronal phenotype					
AP2M1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Intellectual developmental disorder 60 with seizures, 618587;Seizures;Ataxia;Generalized hypotonia;Intellectual disability;Global developmental delay;Autistic behavior	no regression with seizure onset					
AP3D1	2	autosomal recessive	Hermansky-Pudlak syndrome 10 OMIM:617050,ORPHA:54,ORPHA:1000	lack of developmental progress					
AP4B1	2	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 47, autosomal recessive, OMIM:614066;Hereditary spastic paraplegia 47, MONDO:0013551	slowly progressive					
AP4M1	2	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 50, autosomal recessive 	minimally progressive					
APC2	2	BIALLELIC, autosomal or pseudoautosomal	Cortical dysplasia, complex, with other brain malformations 10 OMIM:618677	progressive?					
APOB	2	autosomal recessive	HYPOBETALIPOPROTEINEMIA, FAMILIAL, 1; FHBL1 OMIM:144010,OMIM:615558,ORPHA:391665	ataxia					
APOL2	2	autosomal dominant	Schizophrenia OMIM:181500						
APOL4	2	autosomal dominant	Schizophrenia OMIM:181500						
ARCN1	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay, 617164	quite severe extraneuronal phenotype					
ARF1	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Periventricular nodular heterotopia 8, OMIM:618185	regression described 					
ARF3	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Global developmental delay;Intellectual disability, MONDO:0001071;Seizures;Morphological abnormality of the central nervous system;microcephaly, MONDO:0001149						
ARFGEF1	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Intellectual disability, MONDO:0001071;Epilepsy, MONDO:0005027	progressive?					
ARFGEF2	2	BIALLELIC, autosomal or pseudoautosomal	Periventricular heterotopia with microcephaly 608097						
ARHGAP31	2	autosomal dominant	Adams-Oliver syndrome 1 OMIM:100300,ORPHA:974	progressive?					
ARHGAP35	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Developmental disorder	Abnormality of the nervous system described but mainly non-neuronal					
ARHGEF2	2	autsomal recessive	Neurodevelopmental disorder with midbrain and hindbrain malformations OMIM:617523	progressive? Phenotype milder					
ARID1A	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Mental retardation, autosomal dominant 14, 614607;COFFIN-SIRIS SYNDROME; CSS						
ARID1B	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Coffin-Siris syndrome 1, 135900	progressive?					
ARID2	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Coffin-Siris syndrome 6, 617808;ARID2-Coffin-Siris like disorder						
ARL13B	2	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 8, 612291;Intellectual disability	phenotype might not be severe enough, progressive?					
ARL6IP1	2	autsomal recessive	Spastic paraplegia 61, autosomal recessive OMIM:615685,ORPHA:401780	progressive?					
ARL6IP6	2		Cutis marmorata telangiectatica congenita ORPHA:1556	extraneuronal phenotype					
ARMC9	2	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome; Intellectual Disability	progressive?					
ARNT2	2	autosomal recessive	Webb-Dattani syndrome ORPHA:3157,OMIM:615926						
ARPC4	2	autosomal dominant	Developmental delay, language impairment, and ocular abnormalities	phenotype might be too mild					
ASCL1	2	autosomal dominant	ORPHA:99803 Ondine syndrome	progressive?					
ASH1L	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Mental retardation, autosomal dominant 52, 617796;intellectual disability	progressive? A case with developmental regression described					
ASL	2	BIALLELIC, autosomal or pseudoautosomal	Argininosuccinic aciduria 207900	progressive?					
ASS1	2	BIALLELIC, autosomal or pseudoautosomal	Citrullinemia, 215700;intellectual disability	progressive? Neonatal onset					
ASXL2	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Shashi-Pena syndrome 617190	progressive?					
ATAD3A	2	BIALLELIC, autosomal or pseudoautosomal	Harel-Yoon syndrome, OMIM:617183;Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, OMIM:618810	described as progressive in one case report					
ATCAY	2	BIALLELIC, autosomal or pseudoautosomal	Ataxia, cerebellar, Cayman type OMIM:601238;Cayman type cerebellar ataxia MONDO:0011025	nonprogressive?					
ATIC	2	BIALLELIC, autosomal or pseudoautosomal	AICA-ribosiduria due to ATIC deficiency, 608688;AICA-RIBOSURIA (AICAR)	progressive? 					
ATL1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spastic paraplegia 3A, autosomal dominant, ;Spastic Paraplegia, Dominant ;Spastic paraplegia 3A, autosomal dominant	variable progression					
ATL3	2	autsomal dominant	"ORPHA:36386,OMIM:615632 	Neuropathy, hereditary sensory, type IF"	progressive? Phenotype might not be severe enough					
ATN1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Congenital hypotonia, epilepsy, developmental delay, and digital anomalies, OMIM:618494	described as non-progressive, another associated disorder is a dementia with onset at 30 years					
ATP11A	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodevelopmental disorder	progressive?					
